あか | aka | red; crimson; scarlet​ | [sound:ic_nrkt_aka.mp3]
ところ | tokoro | place | [sound:ic_nrkt_tokoro.mp3]
ともだち | tomodachi | friend; companion | [sound:ic_nrkt_tomodachi.mp3]
となり | tonari | next door to | [sound:ic_nrkt_tonari.mp3]
とおか | tooka | tenth day of the month / 10 days | [sound:ic_nrkt_tooka.mp3]
とり | tori | bird | [sound:ic_nrkt_tori.mp3]
とりにく | toriniku | chicken meat | [sound:ic_nrkt_toriniku.mp3]
とし | toshi | year; age | [sound:ic_nrkt_toshi.mp3]
としょかん | toshokan | library | [sound:ic_nrkt_toshokan.mp3]
つぎ | tsugi | next | [sound:ic_nrkt_tsugi.mp3]
ついたち | tsuitachi | first day of the month | [sound:ic_nrkt_tsuitachi.mp3]
つくえ | tsukue | desk | [sound:ic_nrkt_tsukue.mp3]
うえ | ue | above; up; over; top; surface | [sound:ic_nrkt_ue.mp3]
うみ | umi | sea | [sound:ic_nrkt_umi.mp3]
うしろ | ushiro | back; behind; rear | [sound:ic_nrkt_ushiro.mp3]
うた | uta | song | [sound:ic_nrkt_uta.mp3]
うわぎ | uwagi | coat; tunic; jacket; outer garment | [sound:ic_nrkt_uwagi.mp3]
 | wai shatsu | shirt | [sound:ic_nrkt_waishatsu.mp3]
やま | yama | mountain; hill | [sound:ic_nrkt_yama.mp3]
やおや | yaoya | greengrocer; fruit and vegetable shop; versatile | [sound:ic_nrkt_yaoya.mp3]
やさい | yasai | vegetable | [sound:ic_nrkt_yasai.mp3]
やすみ | yasumi | rest; vacation; holiday | [sound:ic_nrkt_yasumi.mp3]
やっつ | yattsu | eight: 8 | [sound:ic_nrkt_yattsu.mp3]
よっか | yokka | fourth day of the month / 4 days | [sound:ic_nrkt_yokka.mp3]
よこ | yoko | beside,side,width | [sound:ic_nrkt_yoko.mp3]
よる | yoru | evening; night | [sound:ic_nrkt_yoru.mp3]
よつ | yotsu | four; 4 | [sound:ic_nrkt_yotsu.mp3]
ようふく | youfuku | western clothes | [sound:ic_nrkt_youfuku.mp3]
ようか | youka | eighth day of the month / 8 days | [sound:ic_nrkt_youka.mp3]
ゆき | yuki | snow | [sound:ic_nrkt_yuki.mp3]
ゆうべ | yuube | last night | [sound:ic_nrkt_yuube.mp3]
ゆうびんきょく | yuubinkyoku | post office | [sound:ic_nrkt_yuubinkyoku.mp3]
ゆうがた | yuugata | evening; dusk | [sound:ic_nrkt_yuugata.mp3]
ゆうはん | yuuhan | evening meal | [sound:ic_nrkt_yuuhan.mp3]
ゆうめい | yuumei | famous | [sound:ic_nrkt_yuumei.mp3]
ざっし | zasshi | magazine | [sound:ic_nrkt_zasshi.mp3]
ぜんぶ | zenbu | all | [sound:ic_nrkt_zenbu.mp3]
 | zero | zero | [sound:ic_nrkt_zero.mp3]
 | zubon | trousers; pants | [sound:ic_nrkt_zubon.mp3]
